"FECHA_HORA",FECHA,HORA,AIRQ_CO,AIRQ_NO,AIRQ_NO2,DATASET
2015-01-08:21:00,2015-01-08,21,0.23,----,----,CALID-DE-AIRE-ANO-2015
2015-01-08:22:00,2015-01-08,22,0.20,----,----,CALID-DE-AIRE-ANO-2015
2015-01-08:23:00,2015-01-08,23,0.26,----,----,CALID-DE-AIRE-ANO-2015
2015-01-09:00:00,2015-01-09,00,0.17,----,----,CALID-DE-AIRE-ANO-2015
2015-01-09:01:00,2015-01-09,01,0.15,----,----,CALID-DE-AIRE-ANO-2015
2015-01-09:02:00,2015-01-09,02,0.14,----,----,CALID-DE-AIRE-ANO-2015
2015-01-09:03:00,2015-01-09,03,0.16,----,----,CALID-DE-AIRE-ANO-2015
2015-01-09:04:00,2015-01-09,04,0.16,----,----,CALID-DE-AIRE-ANO-2015
2015-01-09:05:00,2015-01-09,05,0.17,----,----,CALID-DE-AIRE-ANO-2015
2015-01-09:06:00,2015-01-09,06,0.18,----,----,CALID-DE-AIRE-ANO-2015
2015-01-09:07:00,2015-01-09,07,0.20,----,----,CALID-DE-AIRE-ANO-2015
2015-01-09:08:00,2015-01-09,08,0.18,----,----,CALID-DE-AIRE-ANO-2015
2015-01-09:09:00,2015-01-09,09,0.10,----,----,CALID-DE-AIRE-ANO-2015
2015-01-09:10:00,2015-01-09,10,< LD,----,----,CALID-DE-AIRE-ANO-2015
2015-01-09:11:00,2015-01-09,11,< LD,----,----,CALID-DE-AIRE-ANO-2015
2015-01-09:12:00,2015-01-09,12,< LD,----,----,CALID-DE-AIRE-ANO-2015
2015-01-09:13:00,2015-01-09,13,0.04,----,----,CALID-DE-AIRE-ANO-2015
2015-01-09:14:00,2015-01-09,14,< LD,----,----,CALID-DE-AIRE-ANO-2015
2015-01-09:15:00,2015-01-09,15,< LD,----,----,CALID-DE-AIRE-ANO-2015
2015-01-09:16:00,2015-01-09,16,< LD,----,----,CALID-DE-AIRE-ANO-2015
2015-01-09:17:00,2015-01-09,17,< LD,----,----,CALID-DE-AIRE-ANO-2015
2015-01-09:18:00,2015-01-09,18,< LD,----,----,CALID-DE-AIRE-ANO-2015
2015-01-09:19:00,2015-01-09,19,< LD,----,----,CALID-DE-AIRE-ANO-2015
2015-01-09:20:00,2015-01-09,20,< LD,----,----,CALID-DE-AIRE-ANO-2015
2015-01-09:21:00,2015-01-09,21,0.08,----,----,CALID-DE-AIRE-ANO-2015
2015-01-09:22:00,2015-01-09,22,0.09,----,----,CALID-DE-AIRE-ANO-2015
2015-01-09:23:00,2015-01-09,23,0.09,----,----,CALID-DE-AIRE-ANO-2015
2015-01-10:00:00,2015-01-10,00,0.07,----,----,CALID-DE-AIRE-ANO-2015
2015-01-10:01:00,2015-01-10,01,0.06,----,----,CALID-DE-AIRE-ANO-2015
2015-01-10:02:00,2015-01-10,02,0.04,----,----,CALID-DE-AIRE-ANO-2015
2015-01-10:03:00,2015-01-10,03,0.04,----,----,CALID-DE-AIRE-ANO-2015
2015-01-10:04:00,2015-01-10,04,0.04,----,----,CALID-DE-AIRE-ANO-2015
2015-01-10:05:00,2015-01-10,05,0.11,----,----,CALID-DE-AIRE-ANO-2015
2015-01-10:06:00,2015-01-10,06,0.10,----,----,CALID-DE-AIRE-ANO-2015
2015-01-10:07:00,2015-01-10,07,0.07,----,----,CALID-DE-AIRE-ANO-2015
2015-01-10:08:00,2015-01-10,08,0.05,----,----,CALID-DE-AIRE-ANO-2015
2015-01-10:09:00,2015-01-10,09,0.04,----,----,CALID-DE-AIRE-ANO-2015
2015-01-10:10:00,2015-01-10,10,0.04,----,----,CALID-DE-AIRE-ANO-2015
2015-01-10:11:00,2015-01-10,11,0.04,----,----,CALID-DE-AIRE-ANO-2015
2015-01-10:12:00,2015-01-10,12,0.04,----,----,CALID-DE-AIRE-ANO-2015
2015-01-10:13:00,2015-01-10,13,< LD,----,----,CALID-DE-AIRE-ANO-2015
2015-01-10:14:00,2015-01-10,14,< LD,----,----,CALID-DE-AIRE-ANO-2015
2015-01-10:15:00,2015-01-10,15,< LD,----,----,CALID-DE-AIRE-ANO-2015
2015-01-10:16:00,2015-01-10,16,< LD,----,----,CALID-DE-AIRE-ANO-2015
2015-01-10:17:00,2015-01-10,17,< LD,----,----,CALID-DE-AIRE-ANO-2015
2015-01-10:18:00,2015-01-10,18,< LD,----,----,CALID-DE-AIRE-ANO-2015
2015-01-10:19:00,2015-01-10,19,< LD,----,----,CALID-DE-AIRE-ANO-2015
