2018-05-12:13:00,05/12/2018,13:00:00,18.75,7.13,6.89,74.1,crbuoy
2018-05-12:13:15,05/12/2018,13:15:00,18.76,7.12,6.83,73.45,crbuoy
2018-05-12:13:30,05/12/2018,13:30:00,18.77,7.12,6.81,73.26,crbuoy
2018-05-12:13:45,05/12/2018,13:45:00,18.78,7.13,6.9,74.24,crbuoy
2018-05-12:14:00,05/12/2018,14:00:00,18.76,7.15,7.08,76.1,crbuoy
2018-05-12:14:15,05/12/2018,14:15:00,18.78,7.15,7.1,76.32,crbuoy
2018-05-12:14:30,05/12/2018,14:30:00,18.78,7.14,6.97,74.94,crbuoy
2018-05-12:14:45,05/12/2018,14:45:00,18.78,7.14,7,75.34,crbuoy
2018-05-12:15:00,05/12/2018,15:00:00,18.78,7.14,7.01,75.45,crbuoy
2018-05-12:15:15,05/12/2018,15:15:00,18.77,7.14,7.01,75.4,crbuoy
2018-05-12:15:30,05/12/2018,15:30:00,18.77,7.14,7.03,75.62,crbuoy
2018-05-12:15:45,05/12/2018,15:45:00,18.76,7.15,7.09,76.18,crbuoy
2018-05-12:16:00,05/12/2018,16:00:00,18.75,7.14,7.03,75.53,crbuoy
2018-05-12:16:15,05/12/2018,16:15:00,18.75,7.14,7.06,75.84,crbuoy
2018-05-12:16:30,05/12/2018,16:30:00,18.73,7.14,7.05,75.78,crbuoy
2018-05-12:16:45,05/12/2018,16:45:00,18.72,7.14,7.07,75.93,crbuoy
2018-05-12:17:00,05/12/2018,17:00:00,18.71,7.14,7.05,75.69,crbuoy
2018-05-12:17:15,05/12/2018,17:15:00,18.67,7.15,7.08,76.04,crbuoy
2018-05-12:17:30,05/12/2018,17:30:00,18.65,7.15,7.12,76.37,crbuoy
2018-05-12:17:45,05/12/2018,17:45:00,18.65,7.15,7.11,76.27,crbuoy
2018-05-12:18:00,05/12/2018,18:00:00,18.66,7.15,7.08,75.93,crbuoy
2018-05-12:18:15,05/12/2018,18:15:00,18.63,7.15,7.09,75.98,crbuoy
2018-05-12:18:30,05/12/2018,18:30:00,18.64,7.14,7.1,76.11,crbuoy
2018-05-12:18:45,05/12/2018,18:45:00,18.63,7.14,7.07,75.85,crbuoy
2018-05-12:19:00,05/12/2018,19:00:00,18.62,7.15,7.06,75.69,crbuoy
