"FECHA_HORA",FECHA,HORA,AIRQ_CO,AIRQ_NO2,DATASET
2009-10-15:5:00,15/10/2009,6,0.78, ,MGSET_01_2009_2018_PA
2009-10-15:6:00,15/10/2009,7,0.7, ,MGSET_01_2009_2018_PA
2009-10-15:7:00,15/10/2009,8,0.64, ,MGSET_01_2009_2018_PA
2009-10-15:8:00,15/10/2009,9,0.61, ,MGSET_01_2009_2018_PA
2009-10-15:9:00,15/10/2009,10,0.64, ,MGSET_01_2009_2018_PA
2009-10-15:10:00,15/10/2009,11,0.75, ,MGSET_01_2009_2018_PA
2009-10-15:11:00,15/10/2009,12,0.91, ,MGSET_01_2009_2018_PA
2009-10-15:12:00,15/10/2009,13,1.14, ,MGSET_01_2009_2018_PA
2009-10-15:13:00,15/10/2009,14,1.38, ,MGSET_01_2009_2018_PA
2009-10-15:14:00,15/10/2009,15,1.59, ,MGSET_01_2009_2018_PA
2009-10-15:15:00,15/10/2009,16,1.88, ,MGSET_01_2009_2018_PA
2009-10-15:16:00,15/10/2009,17,2.04, ,MGSET_01_2009_2018_PA
2009-10-15:17:00,15/10/2009,18,2.06, ,MGSET_01_2009_2018_PA
2009-10-15:18:00,15/10/2009,19,1.99, ,MGSET_01_2009_2018_PA
2009-10-15:19:00,15/10/2009,20,1.88, ,MGSET_01_2009_2018_PA
2009-10-15:20:00,15/10/2009,21,1.71, ,MGSET_01_2009_2018_PA
2009-10-15:21:00,15/10/2009,22,1.56, ,MGSET_01_2009_2018_PA
2009-10-15:22:00,15/10/2009,23,1.45, ,MGSET_01_2009_2018_PA
2009-10-15:23:00,15/10/2009,24,1.23, ,MGSET_01_2009_2018_PA
2009-10-16:0:00,16/10/2009,1,1.1, ,MGSET_01_2009_2018_PA
2009-10-16:1:00,16/10/2009,2,1.05, ,MGSET_01_2009_2018_PA
2009-10-16:2:00,16/10/2009,3,0.99, ,MGSET_01_2009_2018_PA
2009-10-16:3:00,16/10/2009,4,0.91, ,MGSET_01_2009_2018_PA
2009-10-16:4:00,16/10/2009,5,0.83, ,MGSET_01_2009_2018_PA
2009-10-16:5:00,16/10/2009,6,0.71, ,MGSET_01_2009_2018_PA
2009-10-16:6:00,16/10/2009,7,0.6, ,MGSET_01_2009_2018_PA
2009-10-16:7:00,16/10/2009,8,0.51, ,MGSET_01_2009_2018_PA
2009-10-16:8:00,16/10/2009,9,0.43, ,MGSET_01_2009_2018_PA
2009-10-16:9:00,16/10/2009,10,0.35, ,MGSET_01_2009_2018_PA
2009-10-16:10:00,16/10/2009,11,0.31, ,MGSET_01_2009_2018_PA
2009-10-16:11:00,16/10/2009,12,0.29, ,MGSET_01_2009_2018_PA
2009-10-18:12:00,18/10/2009,13,0.35, ,MGSET_01_2009_2018_PA
2009-10-18:13:00,18/10/2009,14,0.39, ,MGSET_01_2009_2018_PA
2009-10-18:14:00,18/10/2009,15,0.44, ,MGSET_01_2009_2018_PA
2009-10-18:15:00,18/10/2009,16,0.48, ,MGSET_01_2009_2018_PA
2009-10-18:16:00,18/10/2009,17,0.49, ,MGSET_01_2009_2018_PA
2009-10-18:17:00,18/10/2009,18,0.5, ,MGSET_01_2009_2018_PA
2009-10-18:18:00,18/10/2009,19,0.53, ,MGSET_01_2009_2018_PA
2009-10-18:19:00,18/10/2009,20,0.56, ,MGSET_01_2009_2018_PA
2009-10-18:20:00,18/10/2009,21,0.58, ,MGSET_01_2009_2018_PA
2009-10-18:21:00,18/10/2009,22,0.55, ,MGSET_01_2009_2018_PA
2009-10-18:22:00,18/10/2009,23,0.53, ,MGSET_01_2009_2018_PA
2009-10-18:23:00,18/10/2009,24,0.5, ,MGSET_01_2009_2018_PA
2009-10-19:0:00,19/10/2009,1,0.51, ,MGSET_01_2009_2018_PA
2009-10-19:1:00,19/10/2009,2,0.55, ,MGSET_01_2009_2018_PA
2009-10-19:2:00,19/10/2009,3,0.55, ,MGSET_01_2009_2018_PA
2009-10-19:3:00,19/10/2009,4,0.51, ,MGSET_01_2009_2018_PA
2009-10-19:4:00,19/10/2009,5,0.48, ,MGSET_01_2009_2018_PA
2009-10-19:5:00,19/10/2009,6,0.44, ,MGSET_01_2009_2018_PA
2009-10-19:6:00,19/10/2009,7,0.4, ,MGSET_01_2009_2018_PA
2009-10-19:7:00,19/10/2009,8,0.36, ,MGSET_01_2009_2018_PA
2009-10-19:8:00,19/10/2009,9,0.33, ,MGSET_01_2009_2018_PA
2009-10-19:9:00,19/10/2009,10,0.29, ,MGSET_01_2009_2018_PA
2009-10-19:10:00,19/10/2009,11,0.29, ,MGSET_01_2009_2018_PA
2009-10-19:11:00,19/10/2009,12,0.3, ,MGSET_01_2009_2018_PA
2009-10-19:12:00,19/10/2009,13,0.34, ,MGSET_01_2009_2018_PA
2009-10-19:13:00,19/10/2009,14,0.38, ,MGSET_01_2009_2018_PA
2009-10-19:14:00,19/10/2009,15,0.41, ,MGSET_01_2009_2018_PA
2009-10-19:15:00,19/10/2009,16,0.49, ,MGSET_01_2009_2018_PA
2009-10-19:16:00,19/10/2009,17,0.58, ,MGSET_01_2009_2018_PA
2009-10-19:17:00,19/10/2009,18,0.66, ,MGSET_01_2009_2018_PA
2009-10-19:18:00,19/10/2009,19,0.74, ,MGSET_01_2009_2018_PA
2009-10-19:19:00,19/10/2009,20,0.86, ,MGSET_01_2009_2018_PA
2009-10-19:20:00,19/10/2009,21,1, ,MGSET_01_2009_2018_PA
2009-10-19:21:00,19/10/2009,22,1.13, ,MGSET_01_2009_2018_PA
2009-10-19:22:00,19/10/2009,23,1.2, ,MGSET_01_2009_2018_PA
2009-10-19:23:00,19/10/2009,24,1.21, ,MGSET_01_2009_2018_PA
2009-10-20:0:00,20/10/2009,1,1.21, ,MGSET_01_2009_2018_PA
2009-10-20:1:00,20/10/2009,2,1.2, ,MGSET_01_2009_2018_PA
2009-10-20:2:00,20/10/2009,3,1.2, ,MGSET_01_2009_2018_PA
2009-10-20:3:00,20/10/2009,4,1.11, ,MGSET_01_2009_2018_PA
2009-10-20:4:00,20/10/2009,5,1.01, ,MGSET_01_2009_2018_PA
2009-10-20:5:00,20/10/2009,6,0.91, ,MGSET_01_2009_2018_PA
2009-10-20:6:00,20/10/2009,7,0.89, ,MGSET_01_2009_2018_PA
2009-10-20:7:00,20/10/2009,8,0.98, ,MGSET_01_2009_2018_PA
2009-10-20:8:00,20/10/2009,9,1.04, ,MGSET_01_2009_2018_PA
2009-10-20:9:00,20/10/2009,10,1.04, ,MGSET_01_2009_2018_PA
2009-10-20:10:00,20/10/2009,11,1.01, ,MGSET_01_2009_2018_PA
2009-10-20:11:00,20/10/2009,12,1.04, ,MGSET_01_2009_2018_PA
