"FECHA_HORA",FECHA,HORA,WATERQ_Temp,WATERQ_pH,WATERQ_OD,WATERQ_OD_pc,DATASET
2019-05-09:21:00,05/09/2019,21:00:00,14.87,7.09,9.37,92.85,crbuoy
2019-05-09:21:15,05/09/2019,21:15:00,14.98,7.12,9.51,94.41,crbuoy
2019-05-09:21:30,05/09/2019,21:30:00,14.95,7.1,9.5,94.21,crbuoy
2019-05-09:21:45,05/09/2019,21:45:00,14.96,7.1,9.49,94.16,crbuoy
2019-05-09:22:00,05/09/2019,22:00:00,14.97,7.11,9.49,94.22,crbuoy
2019-05-09:22:15,05/09/2019,22:15:00,14.98,7.12,9.52,94.48,crbuoy
2019-05-09:22:30,05/09/2019,22:30:00,14.98,7.12,9.49,94.21,crbuoy
2019-05-09:22:45,05/09/2019,22:45:00,14.97,7.11,9.51,94.43,crbuoy
2019-05-09:23:00,05/09/2019,23:00:00,14.97,7.07,9.5,94.32,crbuoy
2019-05-09:23:15,05/09/2019,23:15:00,14.96,7.09,9.48,94.12,crbuoy
2019-05-09:23:30,05/09/2019,23:30:00,14.99,7.11,9.51,94.44,crbuoy
2019-05-09:23:45,05/09/2019,23:45:00,15.03,7.11,9.52,94.62,crbuoy
2019-05-10:00:00,05/10/2019,00:00:00,15.03,7.1,9.51,94.5,crbuoy
2019-05-10:00:15,05/10/2019,00:15:00,15.02,7.08,9.5,94.45,crbuoy
2019-05-10:00:30,05/10/2019,00:30:00,15.02,7.07,9.51,94.49,crbuoy
2019-05-10:00:45,05/10/2019,00:45:00,15.01,7.08,9.5,94.43,crbuoy
2019-05-10:01:00,05/10/2019,01:00:00,15.01,7.08,9.49,94.27,crbuoy
2019-05-10:01:15,05/10/2019,01:15:00,14.99,7.06,9.49,94.26,crbuoy
2019-05-10:01:30,05/10/2019,01:30:00,15,7.08,9.49,94.22,crbuoy
2019-05-10:01:45,05/10/2019,01:45:00,14.99,7.08,9.47,94.1,crbuoy
2019-05-10:02:00,05/10/2019,02:00:00,14.98,7.1,9.47,94,crbuoy
2019-05-10:02:15,05/10/2019,02:15:00,14.98,7.1,9.46,93.93,crbuoy
2019-05-10:02:30,05/10/2019,02:30:00,14.98,7.06,9.47,94.03,crbuoy
2019-05-10:02:45,05/10/2019,02:45:00,14.96,7.07,9.47,93.99,crbuoy
2019-05-10:03:00,05/10/2019,03:00:00,14.94,7.07,9.46,93.85,crbuoy
2019-05-10:03:15,05/10/2019,03:15:00,14.94,7.09,9.45,93.76,crbuoy
2019-05-10:03:30,05/10/2019,03:30:00,14.94,7.11,9.45,93.75,crbuoy
2019-05-10:03:45,05/10/2019,03:45:00,14.92,7.1,9.44,93.57,crbuoy
