"FECHA_HORA",FECHA,HORA,WATERQ_Temp,WATERQ_pH,WATERQ_OD,WATERQ_OD_pc,DATASET
2017-05-12:18:45,05/12/2017,18:45:00,14.77,7.07,8.2,81.11,crbuoy2017
2017-05-12:19:00,05/12/2017,19:00:00,14.75,7.06,8.18,80.88,crbuoy2017
2017-05-12:19:15,05/12/2017,19:15:00,14.75,7.08,8.22,81.23,crbuoy2017
2017-05-12:19:30,05/12/2017,19:30:00,14.73,7.08,8.22,81.23,crbuoy2017
2017-05-12:19:45,05/12/2017,19:45:00,14.72,7.06,8.21,81.17,crbuoy2017
2017-05-12:20:00,05/12/2017,20:00:00,14.73,7.06,8.23,81.33,crbuoy2017
2017-05-12:20:15,05/12/2017,20:15:00,14.7,7.08,8.24,81.41,crbuoy2017
2017-05-12:20:30,05/12/2017,20:30:00,14.69,7.07,8.24,81.36,crbuoy2017
2017-05-12:20:45,05/12/2017,20:45:00,14.67,7.08,8.2,80.97,crbuoy2017
2017-05-12:21:00,05/12/2017,21:00:00,14.67,7.08,8.2,80.9,crbuoy2017
2017-05-12:21:15,05/12/2017,21:15:00,14.66,7.08,8.19,80.79,crbuoy2017
2017-05-12:21:30,05/12/2017,21:30:00,14.64,7.08,8.19,80.8,crbuoy2017
2017-05-12:21:45,05/12/2017,21:45:00,14.64,7.08,8.19,80.76,crbuoy2017
2017-05-12:22:00,05/12/2017,22:00:00,14.62,7.1,8.2,80.84,crbuoy2017
2017-05-12:22:15,05/12/2017,22:15:00,14.58,7.1,8.2,80.78,crbuoy2017
2017-05-12:22:30,05/12/2017,22:30:00,14.6,7.1,8.17,80.49,crbuoy2017
2017-05-12:22:45,05/12/2017,22:45:00,14.57,7.1,8.17,80.46,crbuoy2017
2017-05-12:23:00,05/12/2017,23:00:00,14.54,7.1,8.21,80.85,crbuoy2017
2017-05-12:23:15,05/12/2017,23:15:00,14.54,7.1,8.24,81.07,crbuoy2017
2017-05-12:23:30,05/12/2017,23:30:00,14.54,7.1,8.22,80.92,crbuoy2017
2017-05-12:23:45,05/12/2017,23:45:00,14.52,7.11,8.26,81.28,crbuoy2017
2017-05-13:00:00,05/13/2017,00:00:00,14.52,7.11,8.24,81.09,crbuoy2017
2017-05-13:00:15,05/13/2017,00:15:00,14.53,7.11,8.25,81.21,crbuoy2017
2017-05-13:00:30,05/13/2017,00:30:00,14.52,7.12,8.25,81.18,crbuoy2017
2017-05-13:00:45,05/13/2017,00:45:00,14.52,7.11,8.24,81.11,crbuoy2017
